,上場日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
0,2015/12/25,日華化学（株）  代表者インタビュー,4463,-,100.0,0,0,第二部,-,0,0
1,2015/12/25,（株）一蔵  代表者インタビュー,6186,1500,100.0,"1,150","1,210",第二部,1210,512.1,301.8
2,2015/12/24,ケイアイスター不動産（株）,3465,1050,100.0,"1,130","1,200",第二部,1200,"1,050",315
3,2015/12/24,ソーシャルワイヤー（株）,3929,170,100.0,"1,480","1,600",マザーズ,1600,370,81
4,2015/12/22,プロパティエージェント（株）  代表者インタビュー,3464,460,100.0,"1,360","1,400",JQスタンダード,1400,40,75
5,2015/12/22,ソネット・メディア・ネットワークス（株）  代表者インタビュー,6185,600,100.0,"2,150","2,300",マザーズ,2300,,90
6,2015/12/21,（株）マイネット  代表者インタビュー,3928,600,100.0,"1,500","1,680",マザーズ,1680,254,128.1
7,2015/12/21,（株）ビジョン  代表者インタビュー,9416,1870,100.0,"1,800","2,000",マザーズ,2000,425,344.2
8,2015/12/18,（株）アークン  代表者インタビュー,3927,300,100.0,"1,230","1,360",マザーズ,1360,200,75
9,2015/12/18,フリュー（株）  代表者インタビュー,6238,732,100.0,"3,000","3,200",第一部,3200,732,219.6
10,2015/12/17,（株）オープンドア,3926,50,100.0,"3,500","3,820",マザーズ,3820,773,120
11,2015/12/17,（株）ミズホメディー  代表者インタビュー,4595,217.5,100.0,980,"1,100",JQスタンダード,1100,108.5,48.9
12,2015/12/16,（株）ツバキ・ナカシマ  代表者インタビュー,6464,-,100.0,"1,500","1,650",第一部,1550,"19,264.7",963.3
13,2015/12/15,（株）ダブルスタンダード  代表者インタビュー,3925,200,100.0,"2,030","2,190",マザーズ,2190,475,30
14,2015/12/11,（株）ランドコンピュータ  代表者インタビュー,3924,323.5,100.0,"1,710","1,760",第二部,1760,100,63.5
15,2015/12/09,（株）ラクス  代表者インタビュー,3923,400,100.0,920,"1,080",マザーズ,1080,,60
16,2015/12/04,（株）鎌倉新書  代表者インタビュー,6184,150,100.0,920,"1,000",マザーズ,1000,350,75
17,2015/12/03,（株）インベスターズクラウド  代表者インタビュー,1435,420,100.0,"1,730","1,870",マザーズ,1870,670,163.5
18,2015/11/27,（株）ネオジャパン  代表者インタビュー,3921,110,100.0,"2,710","2,900",マザーズ,2900,110,33
19,2015/11/20,（株）ベルシステム２４ホールディングス  代表者インタビュー,6183,3102.9,100.0,"1,500","1,720",第一部,1555,"29,400","4,875.4"
20,2015/11/19,（株）ロゼッタ  代表者インタビュー,6182,347.9,100.0,645,695,マザーズ,695,,52.1
21,2015/11/19,あんしん保証（株）  代表者インタビュー,7183,110,100.0,"1,320","1,460",マザーズ,1460,100,30
22,2015/11/10,（株）ジーフット  代表者インタビュー,2686,516,100.0,0,0,第一部,1032,"2,720",485.4
23,2015/11/04,日本郵政（株）,6178,-,100.0,"1,100","1,400",第一部,1400,495000,0
24,2015/11/04,（株）かんぽ生命保険,7181,-,100.0,"1,900","2,200",第一部,2200,66000,0
25,2015/11/04,（株）ゆうちょ銀行,7182,-,100.0,"1,250","1,450",第一部,1450,412442.3,0
26,2015/10/28,（株）バルニバービ  代表者インタビュー,3418,255,100.0,"2,350","2,500",マザーズ,2500,238,73.9
27,2015/10/27,（株）パートナーエージェント  代表者インタビュー,6181,248,100.0,"1,160","1,260",マザーズ,1260,328,86.4
28,2015/10/23,ＧＭＯメディア（株）  代表者インタビュー,6180,396,100.0,"2,500","2,740",マザーズ,2740,72.8,70.3
29,2015/10/22,（株）グリーンペプタイド  代表者インタビュー,4594,6500,100.0,450,550,マザーズ,450,"6,052.9","1,882.9"
30,2015/10/15,ＡｐｐＢａｎｋ（株）  代表者インタビュー,6177,178,100.0,"1,140","1,200",マザーズ,1200,"1,114",193.8
31,2015/10/01,大木ヘルスケアホールディングス（株）,3417,-,100.0,0,0,JQスタンダード,-,0,0
32,2015/10/01,コスモエネルギーホールディングス（株）,5021,-,100.0,0,0,第一部,-,0,0
33,2015/10/01,（株）九州フィナンシャルグループ,7180,-,100.0,0,0,第一部,-,0,0
34,2015/10/01,（株）Ｃ＆Ｆロジホールディングス,9099,-,100.0,0,0,第一部,-,0,0
35,2015/09/17,（株）ブランジスタ  代表者インタビュー,6176,1200,100.0,400,450,マザーズ,450,"1,200",360
36,2015/09/15,アイビーシー（株）,3920,160,100.0,"2,840","2,920",マザーズ,2920,209.8,55.4
37,2015/09/14,ピクスタ（株）  代表者インタビュー,3416,180,100.0,"1,830","1,870",マザーズ,1870,277.9,68.4
38,2015/09/08,ＪＥＳＣＯホールディングス（株）  代表者インタビュー,1434,1600,100.0,510,540,第二部,540,400,300
39,2015/09/02,ベステラ（株）  代表者インタビュー,1433,220,100.0,"2,400","2,500",マザーズ,2500,40,39
40,2015/09/02,（株）ＳＴＵＤＩＯＵＳ  代表者インタビュー,3415,119,100.0,"2,770","2,870",マザーズ,2870,215,50.1
41,2015/09/01,パイプドＨＤ（株）,3919,-,100.0,0,0,第一部,-,0,0
42,2015/08/31,（株）アクアライン  代表者インタビュー,6173,300,100.0,"1,150","1,250",マザーズ,1250,,40
43,2015/08/28,（株）ラクト・ジャパン  代表者インタビュー,3139,780,100.0,"1,300","1,400",第二部,1400,594,206.1
44,2015/08/28,（株）メタップス  代表者インタビュー,6172,1152,100.0,"3,000","3,300",マザーズ,3300,"1,578",273
45,2015/08/26,（株）土木管理総合試験所  代表者インタビュー,6171,700,100.0,"1,200","1,250",第二部,1250,430,169.5
46,2015/08/13,（株）エムビーエス  代表者インタビュー,1401,122.4,100.0,0,0,マザーズ,2966,,18.3
47,2015/08/11,（株）パルマ  代表者インタビュー,3461,235,100.0,"1,250","1,350",マザーズ,1350,165,50
48,2015/08/04,ＰＣＩホールディングス（株）  代表者インタビュー,3918,200,100.0,"2,330","2,530",マザーズ,2530,160,54
49,2015/07/30,（株）イトクロ,6049,1230,100.0,"1,630","1,930",マザーズ,1930,"1,690",438
50,2015/07/29,デクセリアルズ（株）  代表者インタビュー,4980,-,100.0,"1,450","1,600",第一部,1600,"49,363","4,686"
51,2015/07/16,（株）アイリッジ  代表者インタビュー,3917,250,100.0,"1,150","1,200",マザーズ,1200,80,49.5
