,上場日,上場承認日,会社名,コード,公募株数(千株),売買単位,仮条件下限,仮条件上限,市場,公募価格,売り出し(千株),オーバーアロットメント(千株)
0,2016/12/27  ,2016/11/21,（株）ティビィシィ・スキヤツト  代表者インタビュー,3974,140,100.0,"1,300","1,400",JQスタンダード,1400,80,30
1,2016/12/22  ,2016/11/17,フォーライフ（株）,3477,65,100.0,"2,180","2,280",マザーズ,2280,173,35
2,2016/12/22  ,2016/11/18,（株）エイトレッド  代表者インタビュー,3969,200,100.0,"1,700","1,800",マザーズ,1800,400,90
3,2016/12/21  ,2016/11/15,セグエグループ（株）  代表者インタビュー,3968,180,100.0,"1,600","1,700",JQスタンダード,1700,30,31.5
4,2016/12/21  ,2016/11/18,（株）イノベーション  代表者インタビュー,3970,153.6,100.0,"2,570","2,770",マザーズ,2770,45,29.7
5,2016/12/21  ,2016/11/16,グレイステクノロジー（株）  代表者インタビュー,6541,153.6,100.0,"3,000","3,100",マザーズ,3100,90,36.5
6,2016/12/20  ,2016/11/16,リネットジャパングループ（株）  代表者インタビュー,3556,130,100.0,"1,690","1,830",マザーズ,1830,120,37.5
7,2016/12/19  ,2016/11/15,（株）船場  代表者インタビュー,6540,1050,100.0,"1,200","1,290",第二部,1290,"1,050",315
8,2016/12/19  ,2016/11/14,日本モーゲージサービス（株）  代表者インタビュー,7192,300,100.0,"1,810","2,010",JQスタンダード,2010,66.6,55
9,2016/12/16  ,2016/11/11,（株）シンシア  代表者インタビュー,7782,200,100.0,"1,940","2,100",マザーズ,2100,250,50
10,2016/12/15  ,2016/11/11,（株）ＭＳ－Ｊａｐａｎ,6539,795,100.0,"1,960","2,080",マザーズ,2080,795,238.5
11,2016/12/14  ,2016/11/09,（株）キャリアインデックス  代表者インタビュー,6538,126,100.0,"5,720","6,060",マザーズ,6060,306,64.8
12,2016/12/08  ,2016/11/04,（株）グッドコムアセット  代表者インタビュー,3475,377,100.0,"1,850","1,950",JQスタンダード,1950,175,82.8
13,2016/12/07  ,2016/11/04,（株）イントラスト  代表者インタビュー,7191,1430,100.0,570,630,マザーズ,630,836,339
14,2016/12/06  ,2016/10/28,窪田製薬ホールディングス（株） *,4596,-,100.0,0,0,マザーズ,-,0,0
15,2016/11/29  ,2016/10/24,（株）スタジオアタオ  代表者インタビュー,3550,51,100.0,"2,930","3,030",マザーズ,3030,610,66.1
16,2016/11/29  ,2016/10/24,（株）エルテス  代表者インタビュー,3967,150,100.0,"1,650","1,790",マザーズ,1790,66.1,32.4
17,2016/11/29  ,2016/10/21,（株）ＪＭＣ  代表者インタビュー,5704,970,100.0,920,960,マザーズ,960,30,150
18,2016/11/25  ,2016/11/18,（株）九州リースサービス  代表者インタビュー,8596,-,100.0,0,0,第二部,-,0,0
19,2016/11/22  ,2016/10/18,ＷＡＳＨハウス（株）  代表者インタビュー,6537,620,100.0,"2,090","2,300",マザーズ,2300,492.5,166.8
20,2016/11/21  ,2016/10/21,（株）クスリのアオキホールディングス *,3549,-,100.0,0,0,第一部,-,0,0
21,2016/11/18  ,2016/10/14,（株）フィル・カンパニー  代表者インタビュー,3267,200,100.0,"1,190","1,310",マザーズ,1310,100,45
22,2016/11/01  ,2016/09/28,（株）バロックジャパンリミテッド  代表者インタビュー,3548,4200,100.0,"2,000","2,240",第一部,2000,"7,789.8","1,786.9"
23,2016/10/27  ,2016/09/23,（株）アイモバイル  代表者インタビュー,6535,3330,100.0,"1,220","1,320",マザーズ,1320,"2,220",823.8
24,2016/10/25  ,2016/09/15,九州旅客鉄道（株）  代表者インタビュー,9142,-,100.0,"2,400","2,600",第一部,2600,160000,0
25,2016/10/21  ,2016/09/15,（株）ユーザベース  代表者インタビュー,3966,543,100.0,"2,190","2,510",マザーズ,2510,193.3,110.4
26,2016/10/17  ,2016/09/09,（株）マーキュリアインベストメント  代表者インタビュー,7190,531,100.0,"1,400","1,450",第二部,1450,381.1,135.1
27,2016/10/12  ,2016/09/07,ＫＨネオケム（株）  代表者インタビュー,4189,2614.4,100.0,"1,330","1,670",第一部,1380,"23,800","3,962.1"
28,2016/10/07  ,2016/09/01,（株）キャピタル・アセット・プランニング  代表者インタビュー,3965,160,100.0,"1,960","2,000",JQスタンダード,2000,,24
29,2016/10/03  ,2016/09/01,D.A.コンソーシアムホールディングス（株） *,6534,-,100.0,0,0,第二部,-,0,0
30,2016/10/03  ,2016/09/01,（株）西日本フィナンシャルホールディングス *,7189,-,100.0,0,0,第一部,-,0,0
31,2016/09/30  ,2016/08/26,Ｇ－ＦＡＣＴＯＲＹ（株）  代表者インタビュー,3474,150,100.0,"3,080","3,240",マザーズ,3240,69,32.8
32,2016/09/29  ,2016/08/24,（株）シンクロ・フード  代表者インタビュー,3963,400,100.0,"1,960","2,100",マザーズ,2100,300,105
33,2016/09/27  ,2016/08/22,シルバーエッグ・テクノロジー（株）  代表者インタビュー,3961,320,100.0,850,900,マザーズ,900,200,78
34,2016/09/27  ,2016/08/22,（株）チェンジ  代表者インタビュー,3962,280,100.0,"1,080","1,200",マザーズ,1200,210,0
